Nketiah,Eddie,Arsenal
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.51,79
NON_PEN_XG,0.67,97
TOTAL_SHOTS,3.37,87
ASSISTS,0.10,40
XA,0.10,38
NON_PEN_XG+XA,0.78,93
SHOT_CREATIONS,1.43,10
PASSES_ATTEMPTED,22.04,37
PASS_COMPLETION_PERCENTAGE,81.9,94
PROGRESSIVE_PASSES,1.02,26
PROGRESSIVE CARRIES,2.96,59
DRIBBLES_COMPLETED,1.43,75
TOUCHES_IN_AREA,6.84,87
PROGRESSIVE_PASSES_RECIEVED,9.08,75
PRESSURES,20.41,95
TACKLES,1.12,89
INTERCEPTIONS,0.31,49
BLOCKS,1.33,93
CLEARANCES,0.41,26
AERIAL_DUELS_WON,0.82,15
