Tarkowski,James,Burnley
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,35
NON_PEN_XG,0.07,85
TOTAL_SHOTS,0.61,74
ASSISTS,0.00,31
XA,0.02,68
NON_PEN_XG+XA,0.09,86
SHOT_CREATIONS,0.69,75
PASSES_ATTEMPTED,32.42,3
PASS_COMPLETION_PERCENTAGE,72.0,1
PROGRESSIVE_PASSES,2.11,30
PROGRESSIVE CARRIES,1.14,11
DRIBBLES_COMPLETED,0.31,68
TOUCHES_IN_AREA,2.00,99
PROGRESSIVE_PASSES_RECIEVED,0.47,88
PRESSURES,7.00,23
TACKLES,2.06,80
INTERCEPTIONS,1.58,69
BLOCKS,1.94,74
CLEARANCES,6.56,87
AERIAL_DUELS_WON,5.11,99
