Firmino,Roberto,Liverpool
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,22
NON_PEN_XG,0.41,71
TOTAL_SHOTS,2.70,67
ASSISTS,0.20,70
XA,0.20,86
NON_PEN_XG+XA,0.62,80
SHOT_CREATIONS,3.30,87
PASSES_ATTEMPTED,41.68,97
PASS_COMPLETION_PERCENTAGE,79.6,87
PROGRESSIVE_PASSES,4.15,97
PROGRESSIVE CARRIES,5.34,87
DRIBBLES_COMPLETED,1.65,81
TOUCHES_IN_AREA,6.93,90
PROGRESSIVE_PASSES_RECIEVED,10.26,91
PRESSURES,18.92,89
TACKLES,1.11,86
INTERCEPTIONS,0.31,52
BLOCKS,1.85,98
CLEARANCES,0.40,24
AERIAL_DUELS_WON,0.94,21
