Wan-Bissaka,Aaron,Manchester Utd
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,56
NON_PEN_XG,0.02,26
TOTAL_SHOTS,0.20,9
ASSISTS,0.12,72
XA,0.06,27
NON_PEN_XG+XA,0.08,20
SHOT_CREATIONS,1.47,39
PASSES_ATTEMPTED,58.36,70
PASS_COMPLETION_PERCENTAGE,85.8,93
PROGRESSIVE_PASSES,3.49,41
PROGRESSIVE CARRIES,5.49,67
DRIBBLES_COMPLETED,1.17,75
TOUCHES_IN_AREA,1.11,36
PROGRESSIVE_PASSES_RECIEVED,2.10,46
PRESSURES,13.28,60
TACKLES,2.93,88
INTERCEPTIONS,1.92,92
BLOCKS,3.35,99
CLEARANCES,3.03,73
AERIAL_DUELS_WON,1.17,49
