Hudson-Odoi,Callum,Chelsea
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,60
NON_PEN_XG,0.14,23
TOTAL_SHOTS,1.88,41
ASSISTS,0.18,51
XA,0.23,77
NON_PEN_XG+XA,0.37,45
SHOT_CREATIONS,4.06,81
PASSES_ATTEMPTED,50.48,89
PASS_COMPLETION_PERCENTAGE,82.0,90
PROGRESSIVE_PASSES,3.93,77
PROGRESSIVE CARRIES,11.86,98
DRIBBLES_COMPLETED,1.51,42
TOUCHES_IN_AREA,5.45,78
PROGRESSIVE_PASSES_RECIEVED,7.75,75
PRESSURES,12.35,21
TACKLES,1.82,83
INTERCEPTIONS,0.97,74
BLOCKS,1.51,80
CLEARANCES,0.67,64
AERIAL_DUELS_WON,0.54,40
