Loftus-Cheek,Ruben,Chelsea
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,3
NON_PEN_XG,0.14,24
TOTAL_SHOTS,1.69,33
ASSISTS,0.00,3
XA,0.06,6
NON_PEN_XG+XA,0.21,6
SHOT_CREATIONS,2.47,22
PASSES_ATTEMPTED,33.46,27
PASS_COMPLETION_PERCENTAGE,82.8,93
PROGRESSIVE_PASSES,3.29,56
PROGRESSIVE CARRIES,5.03,33
DRIBBLES_COMPLETED,2.15,72
TOUCHES_IN_AREA,3.43,40
PROGRESSIVE_PASSES_RECIEVED,5.71,32
PRESSURES,16.04,57
TACKLES,1.46,62
INTERCEPTIONS,1.10,84
BLOCKS,1.14,43
CLEARANCES,0.69,67
AERIAL_DUELS_WON,2.01,94
