Rodríguez,James,Everton
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.31,74
NON_PEN_XG,0.17,37
TOTAL_SHOTS,1.89,42
ASSISTS,0.20,59
XA,0.28,88
NON_PEN_XG+XA,0.45,69
SHOT_CREATIONS,3.67,70
PASSES_ATTEMPTED,56.68,95
PASS_COMPLETION_PERCENTAGE,79.1,73
PROGRESSIVE_PASSES,6.73,98
PROGRESSIVE CARRIES,5.00,32
DRIBBLES_COMPLETED,1.48,42
TOUCHES_IN_AREA,1.79,5
PROGRESSIVE_PASSES_RECIEVED,3.83,5
PRESSURES,12.76,23
TACKLES,1.02,31
INTERCEPTIONS,0.82,57
BLOCKS,1.22,53
CLEARANCES,0.05,3
AERIAL_DUELS_WON,0.26,9
