Struijk,Pascal,Leeds United
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,53
NON_PEN_XG,0.10,98
TOTAL_SHOTS,0.61,72
ASSISTS,0.00,31
XA,0.01,37
NON_PEN_XG+XA,0.11,94
SHOT_CREATIONS,0.52,52
PASSES_ATTEMPTED,54.61,52
PASS_COMPLETION_PERCENTAGE,87.1,56
PROGRESSIVE_PASSES,2.04,26
PROGRESSIVE CARRIES,1.21,13
DRIBBLES_COMPLETED,0.17,36
TOUCHES_IN_AREA,0.87,61
PROGRESSIVE_PASSES_RECIEVED,0.52,90
PRESSURES,16.57,99
TACKLES,2.43,91
INTERCEPTIONS,1.78,82
BLOCKS,2.26,94
CLEARANCES,4.42,30
AERIAL_DUELS_WON,2.21,34
