Armstrong,Stuart,Southampton
AM,CM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,19
NON_PEN_XG,0.10,9
TOTAL_SHOTS,1.76,36
ASSISTS,0.16,41
XA,0.09,10
NON_PEN_XG+XA,0.19,5
SHOT_CREATIONS,2.67,30
PASSES_ATTEMPTED,40.96,67
PASS_COMPLETION_PERCENTAGE,79.7,76
PROGRESSIVE_PASSES,3.78,73
PROGRESSIVE CARRIES,6.09,54
DRIBBLES_COMPLETED,1.82,58
TOUCHES_IN_AREA,2.15,9
PROGRESSIVE_PASSES_RECIEVED,3.78,5
PRESSURES,15.92,54
TACKLES,2.28,96
INTERCEPTIONS,0.98,75
BLOCKS,1.01,27
CLEARANCES,0.68,66
AERIAL_DUELS_WON,0.26,10
