Vinícius,Carlos,Tottenham
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.74,98
NON_PEN_XG,0.77,99
TOTAL_SHOTS,2.85,74
ASSISTS,0.32,94
XA,0.25,96
NON_PEN_XG+XA,1.02,99
SHOT_CREATIONS,2.43,60
PASSES_ATTEMPTED,16.88,11
PASS_COMPLETION_PERCENTAGE,67.5,18
PROGRESSIVE_PASSES,1.16,35
PROGRESSIVE CARRIES,1.48,12
DRIBBLES_COMPLETED,1.16,60
TOUCHES_IN_AREA,7.17,95
PROGRESSIVE_PASSES_RECIEVED,6.65,34
PRESSURES,18.15,87
TACKLES,0.42,24
INTERCEPTIONS,0.32,52
BLOCKS,0.84,65
CLEARANCES,0.63,48
AERIAL_DUELS_WON,1.69,49
