Bale,Gareth,Tottenham
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.79,99
NON_PEN_XG,0.46,96
TOTAL_SHOTS,3.83,98
ASSISTS,0.24,73
XA,0.19,60
NON_PEN_XG+XA,0.64,95
SHOT_CREATIONS,4.44,88
PASSES_ATTEMPTED,39.53,60
PASS_COMPLETION_PERCENTAGE,71.7,29
PROGRESSIVE_PASSES,3.53,66
PROGRESSIVE CARRIES,4.99,31
DRIBBLES_COMPLETED,2.80,88
TOUCHES_IN_AREA,4.32,62
PROGRESSIVE_PASSES_RECIEVED,7.36,70
PRESSURES,11.37,13
TACKLES,1.52,69
INTERCEPTIONS,0.85,62
BLOCKS,1.52,80
CLEARANCES,1.22,93
AERIAL_DUELS_WON,2.01,93
