Bergwijn,Steven,Tottenham
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,6
NON_PEN_XG,0.21,53
TOTAL_SHOTS,1.76,36
ASSISTS,0.18,51
XA,0.15,39
NON_PEN_XG+XA,0.36,44
SHOT_CREATIONS,2.91,37
PASSES_ATTEMPTED,34.75,33
PASS_COMPLETION_PERCENTAGE,82.5,92
PROGRESSIVE_PASSES,1.70,7
PROGRESSIVE CARRIES,5.88,50
DRIBBLES_COMPLETED,1.70,50
TOUCHES_IN_AREA,4.00,55
PROGRESSIVE_PASSES_RECIEVED,5.82,34
PRESSURES,17.10,67
TACKLES,1.09,35
INTERCEPTIONS,0.73,46
BLOCKS,0.85,16
CLEARANCES,0.30,23
AERIAL_DUELS_WON,0.12,1
